Эмитент,Дата начала размещения,Статус,"Состояние бумаги, eng.",Ломбардный список БР,Isin,Код НРД,Гос. рег. номер,"Номер гос. рег., НРД",Наименование,CFI,Страна заемщика,Сектор заемщика,Страна эмиссии,Страна эмитента,Регион эмитента,Сектор эмитента,Эмитент: реестр МСП,Страна риска,"Дюрация, лет","Дюрация модиф., лет",Дата ближ. возм. погаш.,Дата погашения,Дата ближ. оферты,Дата окончания размещения,Дата регистрации,Дата гос. рег-ции/присвоения,Срок обращения,Дата начала 1-го купона,Дата ближ. купона,Дата ближ. объявления неизв. купона,"Доходность эффект., %","Доходность средневзв., %","НКД, в вал. ном.",Z-спред,Номинал,"Цена, %","Объем эмиссии, шт.","Заявл. объем эмиссии, в вал. ном.","Объем в обращении, в вал. ном",Дневной оборот на МБ,Средний дневной оборот за мес.,Объем торгов,Объем торгов за 2 дня,Объем торгов за 5 дней,Объем торгов за 10 дней,Объем торгов за месяц,Кол-во сделок,Кол-во сделок за 2 дня,Кол-во сделок за 5 дней,Кол-во сделок за 10 дней,Кол-во сделок за месяц,Кол-во дней со сделками за 2 дня,Кол-во дней со сделками за 5 дней,Кол-во дней со сделками за 10 дней,Кол-во дней со сделками за месяц,Тип купона,"Ставка купона, %",Кол-во купонов в год,Валюта номинала,Тип облигации,Вид облигации,Для неквал. инвесторов,"Форма выпуска, eng",Способ размещения,Тип по классиф. БР,Вид залога,Структурированность,Субординированность,Гос. гарантия,Индексируемость номинала,Амортизируемость,Конвертация,Вид обеспечения,Старшинство секьюритизации,Закрытая подписка,"Тип бумаги (МСП, Корп., Гос.)",Сектор повышенного инвест. риска,Сектор роста,Класс эмитента по выручке,Рейтинг агрег. Эксперт РА,Рейтинг эмиссии Эксперт РА,Рейтинг агрег. АКРА,Рейтинг эмиссии АКРА,target,not_isin,cnt_bonds,fininstId,inn,ogrn,Encumbrance
КИРЛЭГЕЧ-АЛТЫН,2009-07-23,Дефолт,,,,,4-01-28018-R,,КИРЛЭГЕЧ-АЛТЫН-1-об,,RU,,RU,RU,Республика Татарстан,,,RU,,,2034-07-23,2034-07-23,,2009-07-23,2009-07-21,,Долгосрочные,,,,,,,,1.0,,510,510.0,510.0,,,,,,,,,,,,,,,,,Дисконт,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,НЕТ,НЕТ,,,,,,1,1,1,30943,1644055716,1091644001932,0
КЛС-Трейд,2023-01-10,В обращении,Placed,0.0,RU000A105QL6,RU000A105QL6,4B02-02-00068-L-001P,4B02-02-00068-L-001P,КЛС-Трейд-БО-02,DBFUFB,RU,Ритейл,RU,RU,Московская область,Ритейл,,RU,1.5699,1.3377,2025-01-07,2025-01-07,,2023-01-17,2022-12-01,2022-12-01,Краткосрочные,,2023-04-11,,17.3521,17.3804,27.62,0.0,1000.0,102.6,350000,350000000.0,350000000.0,2669609.0,2600167.0,2669608.6,4260139.5,10108361.9,17600013.8,49403174.2,181.0,368.0,1010.0,1836.0,4397.0,2.0,5.0,10.0,19.0,Постоянный,18.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Оферта,416,0,M,ДА,НЕТ,Средний,ruBB-,,,,0,0,2,15828,7709971326,1167746780761,1
КЛЯШ-АЛТЫН,2009-07-23,Дефолт,,,,,4-01-28030-R,,КЛЯШ-АЛТЫН-1-об,,RU,,RU,RU,Республика Татарстан,,,RU,,,2034-07-23,2034-07-23,,2009-07-23,2009-07-21,,Долгосрочные,,,,,,,,1.0,,510,510.0,510.0,,,,,,,,,,,,,,,,,Дисконт,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,НЕТ,НЕТ,,,,,,1,1,1,30965,1644055547,1091644001767,0
КН ФПК Гарант-Инвест,2022-11-22,В обращении,Placed,0.0,RU000A105GV6,RU000A105GV6,4B02-05-71794-H-002P,4B02-05-71794-H-002P,ФПК Гарант-Инвест-002Р-05,DBFUFB,RU,Недвижимость,RU,RU,г.Москва,Недвижимость,Среднее предприятие,RU,2.2685,1.9704,2025-11-18,2025-11-18,,2022-12-21,2022-11-16,2022-11-16,Краткосрочные,,2023-05-23,,15.1273,15.0374,5.66,0.0,1000.0,100.9,1500000,1500000000.0,1500000000.0,5641280.0,4040355.0,5641280.3,9011004.2,28997765.4,54390517.1,76766757.0,184.0,303.0,854.0,1680.0,2714.0,2.0,5.0,10.0,19.0,Постоянный,14.75,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,ДА,Микро,,,BB+(RU),BB+(RU),0,0,5,27714,7726637843,1097746603680,1
КОРПСАН ЗАС,2021-11-16,В обращении,Placed,0.0,RU000A1040Z3,RU000A1040Z3,4CDE-01-00583-R-001P,4CDE-01-00583-R-001P,КОРПСАН ЗАС-КО-П01,DBFUFB,RU,Машиностроение,RU,RU,г.Москва,Машиностроение,,RU,,,2023-11-14,2023-11-14,,2021-12-15,2021-11-11,2021-11-11,Краткосрочные,,2023-05-16,,,,,,1000.0,,60000,60000000.0,60000000.0,,,,,,,,,,,,,,,,,Постоянный,16.0,4.0,RUB,Корп,Коммерческие,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,M,НЕТ,НЕТ,Малый,,,,,0,0,1,14753,5032292806,1185024000721,1
КПО Нева,2022-07-14,В обращении,Placed,0.0,RU000A104Y72,RU000A104Y72,4CDE-02-00050-L,4CDE-02-00050-L,КПО Нева-КО-02,DBVGFB,RU,ЖКХ,RU,RU,Московская область,ЖКХ,,RU,,,2029-09-20,2029-09-20,,2022-07-14,2022-06-23,2022-06-23,Долгосрочные,,2023-03-20,,,,,,190200000.0,,2,380400000.0,354152400.0,,,,,,,,,,,,,,,,,Плавающий,4.75,4.0,RUB,Корп,Коммерческие,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Поручительство,416,0,M,НЕТ,НЕТ,,,,,,0,0,2,15252,5044118471,1205000021379,0
КРЯШ-АЛТЫН,2009-07-23,Дефолт,,,,,4-01-28020-R,,КРЯШ-АЛТЫН-1-об,,RU,,RU,RU,Республика Татарстан,,,RU,,,2034-07-23,2034-07-23,,2009-07-23,2009-07-21,,Долгосрочные,,,,,,,,1.0,,510,510.0,510.0,,,,,,,,,,,,,,,,,Дисконт,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,НЕТ,НЕТ,,,,,,1,1,1,30957,1644055410,1091644001635,0
КУАК-АЛТЫН,2009-07-23,Дефолт,,,,,4-01-28029-R,,КУАК-АЛТЫН-1-об,,RU,,RU,RU,Республика Татарстан,,,RU,,,2034-07-23,2034-07-23,,2009-07-23,2009-07-21,,Долгосрочные,,,,,,,,1.0,,510,510.0,510.0,,,,,,,,,,,,,,,,,Дисконт,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,НЕТ,НЕТ,,,,,,1,1,1,30964,1644055522,1091644001745,0
КУГУШ-АЛТЫН,2009-07-23,Дефолт,,,,,4-01-28035-R,,КУГУШ-АЛТЫН-1-об,,RU,,RU,RU,Республика Татарстан,,,RU,,,2034-07-23,2034-07-23,,2009-07-23,2009-07-21,,Долгосрочные,,,,,,,,1.0,,510,510.0,510.0,,,,,,,,,,,,,,,,,Дисконт,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,НЕТ,НЕТ,,,,,,1,1,1,30963,1644055561,1091644001778,0
КУРНАЛ-АЛТЫН,2009-07-23,Дефолт,,,,,4-01-28022-R,,КУРНАЛ-АЛТЫН-1-об,,RU,,RU,RU,Республика Татарстан,,,RU,,,2034-07-23,2034-07-23,,2009-07-23,2009-07-21,,Долгосрочные,,,,,,,,1.0,,510,510.0,510.0,,,,,,,,,,,,,,,,,Дисконт,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,НЕТ,НЕТ,,,,,,1,1,1,30958,1644055530,1091644001756,0
КЭР,2015-03-27,В обращении,Placed,0.0,RU000A0JVAT1,RU000A0JVAT1,4-01-36462-R,4-01-36462-R,КЭР-1-об,DBFXFB,RU,Прочие,RU,RU,г.Санкт-Петербург,Прочие,Среднее предприятие,RU,,,2025-03-24,2025-03-24,,,2015-02-19,2015-02-19,Долгосрочные,,2025-03-24,,,,,0.0,1000.0,,40000000,40000000000.0,40000000000.0,,,,,,,,,,,,,,,,,Постоянный,12.0,1.0,RUB,Корп,Классические,"Да, после тестирования",bearer,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,M,НЕТ,НЕТ,,,,,,0,0,1,30597,7806344070,5067847312484,0
Калита,2021-10-12,Дефолт,Placed,0.0,RU000A103UY6,RU000A103UY6,4B02-03-00524-R,4B02-03-00524-R,Калита-001P-03,DBFUFB,RU,Нефтегазовый,RU,RU,Омская область,Нефтегазовый,,RU,0.3726,0.0113,2025-09-21,2025-09-21,2025-09-21,2021-10-12,2021-10-01,2021-10-01,Среднесрочные,,2023-04-05,,3208.9642,4629.5211,0.36,0.0,1000.0,3.3,150000,150000000.0,150000000.0,9763.0,10923.0,9762.6,30850.3,68330.9,120661.4,207540.0,29.0,96.0,261.0,488.0,822.0,2.0,5.0,10.0,19.0,Постоянный,13.0,12.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Оферта,416,0,M,НЕТ,НЕТ,Средний,,,,,1,0,3,20738,5505207983,1105543009329,0
Калужская СбытКомп,2018-12-17,В обращении,Placed,0.0,RU000A0ZZYL5,RU000A0ZZYL5,4B02-01-65057-D-001P,4B02-01-65057-D-001P,Калужская СбытКом-1-1-боб,DBVUFB,RU,Электроэнергетика,RU,RU,Калужская область,Электроэнергетика,,RU,0.737,0.6622,2021-12-13,2023-12-11,,2021-12-01,2018-12-13,2018-12-13,Среднесрочные,,2023-06-13,,11.2985,11.3425,26.08,0.0,1000.0,100.11,3000000,3000000000.0,784598000.0,262199.0,535942.0,262198.9,376253.7,1231040.7,3187137.2,10182910.0,22.0,49.0,126.0,348.0,904.0,2.0,5.0,10.0,19.0,Переменный,11.2,2.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,,,,,0,0,1,22700,4029030252,1044004751746,1
Капитал консалтинг,2009-09-04,В обращении,,,,,4-01-28042-R,,Капитал консалтинг-1-об,,RU,Технологии,RU,RU,Республика Татарстан,Технологии,Микропредприятие,RU,,,2034-09-04,2034-09-04,,2009-09-22,2009-09-03,,Долгосрочные,,,,,,,,1.0,,510,510.0,510.0,,,,,,,,,,,,,,,,,Дисконт,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,НЕТ,НЕТ,,,,,,0,1,1,31314,1644055882,1091644002163,0
КарМани МФК,2022-09-29,В обращении,Placed,0.0,RU000A1058U6,RU000A1058U6,4-02-00321-R,4-02-00321-R,КарМани МФК-02-об,DBFUFB,RU,Финанс.сервисы,RU,RU,г.Москва,Финанс.сервисы,,RU,1.4904,1.2736,2025-09-13,2025-09-13,,2022-12-22,2022-01-27,2022-01-27,Краткосрочные,,2023-03-28,,17.024,17.1811,4.68,0.0,1000.0,104.75,500000,500000000.0,274622000.0,1455256.0,1524520.0,1455256.0,3204915.9,5847631.6,9555331.6,28965883.0,82.0,159.0,326.0,680.0,1965.0,2.0,5.0,10.0,19.0,Постоянный,19.0,12.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,1,M,ДА,НЕТ,Малый,ruBB-,,,,0,0,3,27035,7730634468,1107746915781,0
Карачаево-Черкессия Прав,2017-12-20,В обращении,Placed,0.0,RU000A0ZYL22,RU000A0ZYL22,RU35001KRC0,RU35001KRC0,Карач-ЧеркесРесп-35001,DBFXFB,RU,Государственные,RU,RU,Карачаево-Черкесская Республика,Государственные,,RU,0.9589,0.8753,2024-12-18,2024-12-18,,2017-12-20,2017-12-08,2017-12-08,Среднесрочные,,2023-03-15,,9.5475,9.5588,19.78,0.0,1000.0,99.5,2000000,2000000000.0,1748300000.0,561126.0,651235.0,561126.3,2098734.9,2706677.1,5805417.9,12373473.5,53.0,114.0,196.0,377.0,805.0,2.0,5.0,10.0,19.0,Постоянный,8.7,4.0,RUB,Муни,Классические,"Да, после тестирования",bearer,Подписка открытая,Облигации органов исполнительной власти субъектов Российской Федерации и муниципальных образований,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,G,НЕТ,НЕТ,,,,,,0,0,1,21758,0901006128,1020900511818,0
Каршеринг Руссия,2022-08-10,В обращении,Placed,0.0,RU000A1052T1,RU000A1052T1,4B02-01-00078-L-001P,4B02-01-00078-L-001P,Каршеринг Руссия-001Р-01,DBFUFB,RU,Ритейл,RU,RU,г.Москва,Ритейл,,RU,2.0986,1.8668,2025-08-06,2025-08-06,,2022-08-11,2022-07-20,2022-07-20,Краткосрочные,,2023-05-10,,12.4174,12.3552,9.62,0.0,1000.0,102.32,676403,676403000.0,659808000.0,599252.0,2271456.0,599251.6,1674558.8,8560764.2,13540646.6,43157670.8,58.0,146.0,417.0,1032.0,2621.0,2.0,5.0,10.0,19.0,Постоянный,13.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,,,A+(RU),,0,0,1,10329,9705034527,1157746288083,1
Каскад,2019-08-14,Дефолт,Placed,0.0,RU000A100Q76,RU000A100Q76,4B02-01-00453-R-001P,4B02-01-00453-R-001P,Каскад-001Р-01,DBVUFB,RU,Ритейл,RU,RU,г.Москва,Ритейл,Среднее предприятие,RU,0.1973,,2022-08-10,2022-08-10,,2019-08-14,2019-08-02,2019-08-02,Краткосрочные,,,,,,,0.0,1000.0,,300000,300000000.0,300000000.0,,13341.0,0.0,7535.8,22553.5,103517.5,240142.3,0.0,16.0,74.0,233.0,509.0,1.0,4.0,9.0,16.0,Переменный,0.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Микро,,,,,1,0,2,23374,6164302675,1116164001403,0
Кировский ЗдСпб,2021-03-18,В обращении,Placed,0.0,RU000A102UZ5,RU000A102UZ5,4-02-00046-A-001P,4-02-00046-A-001P,КировскийЗд-02,DBVUFB,RU,Машиностроение,RU,RU,г.Санкт-Петербург,Машиностроение,,RU,0.9644,0.8698,2024-03-14,2026-03-12,2024-03-19,2021-03-18,2021-01-28,2021-01-28,Среднесрочные,,2023-03-16,,10.8734,10.6808,21.34,0.0,1000.0,99.08,2690000,2690000000.0,2690000000.0,542889.0,498729.0,542888.9,2788691.8,3961629.9,6622551.9,9475857.1,32.0,49.0,167.0,292.0,558.0,2.0,5.0,10.0,19.0,Переменный,9.5,4.0,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,,,,BBB-(RU),,0,0,2,2898,7805019279,1027802712365,1
Кисточки-Финанс,2019-06-18,В обращении,Placed,0.0,RU000A100FZ0,RU000A100FZ0,4B02-01-00419-R-001P,4B02-01-00419-R-001P,Кисточки-Финанс-БО-ПО1,DBVUFB,RU,Прочие,RU,RU,г.Санкт-Петербург,Прочие,Микропредприятие,RU,0.0055,,2020-06-12,2025-09-14,,2019-06-18,2019-06-13,2019-06-13,Краткосрочные,,2023-03-29,,,,,0.0,10000.0,,4000,40000000.0,30000000.0,,329758.0,0.0,0.0,1496525.0,2864076.0,6595178.0,0.0,0.0,118.0,235.0,558.0,0.0,3.0,8.0,18.0,Переменный,15.0,12.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Микро,,,,,0,0,1,23705,7842143740,1177847363726,0
Кокс,2018-08-22,В обращении,Placed,0.0,RU000A0JVDF4,RU000A0JVDF4,4B02-05-10799-F,4B02-05-10799-F,Кокс-5-боб,DBFUFB,RU,Металлургический,RU,RU,Кемеровская область,Металлургический,,RU,0.4438,,2023-08-16,2023-08-16,,2018-08-22,2014-01-27,2014-01-27,Среднесрочные,,2023-08-16,,242.5595,,,0.0,1000.0,,5000000,5000000000.0,5000000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Постоянный,9.2,2.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,,,A(RU),,0,0,1,21947,4205001274,1024200680877,0
Комбинат,2021-10-01,В обращении,Placed,0.0,RU000A103TJ9,RU000A103TJ9,4-01-00622-R,4-01-00622-R,Комбинат-01,DBFUFB,RU,ЖКХ,RU,RU,Московская область,ЖКХ,,RU,,,2023-02-08,2030-06-30,,2021-10-01,2021-09-09,2021-09-09,Долгосрочные,,2023-03-27,,,,,,4000000.0,,325,1300000000.0,1300000000.0,,,,,,,,,,,,,,,,,Постоянный,3.0,4.0,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,1,M,НЕТ,НЕТ,Средний,,,,,0,0,1,15302,5020043234,1055003615150,0
КомитетФин ВолгогОбласти,2017-06-02,В обращении,Placed,0.0,RU000A0JXSD3,RU000A0JXSD3,RU35007VLO0,RU35007VLO0,ВолгоградОбл-35007-об,DBFXFB,RU,Государственные,RU,RU,Волгоградская область,Государственные,,RU,0.9096,0.8358,2024-06-02,2024-06-02,,2017-06-02,2017-05-22,2017-05-22,Среднесрочные,,2023-06-05,,8.8309,8.9271,0.22,0.0,1000.0,99.48,10000000,10000000000.0,5000000000.0,906556.0,430992.0,906556.2,1757891.0,3858180.16,4600278.75,8188855.22,172.0,284.0,398.0,583.0,946.0,2.0,5.0,10.0,19.0,Фиксированный,8.15,4.0,RUB,Муни,Классические,"Да, после тестирования",bearer,Подписка открытая,Облигации органов исполнительной власти субъектов Российской Федерации и муниципальных образований,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,G,НЕТ,НЕТ,,ruA-,ruA-,,,0,0,1,28262,3444130624,1063444006922,0
Компания АВИС,2005-10-01,В обращении,,,,,4-01-36094-R,,АВИС-1-обн,,RU,Финанс.сервисы,RU,RU,Свердловская область,Финанс.сервисы,,RU,,,2025-11-30,2025-11-30,,,2005-08-04,,Долгосрочные,,,,,,,,1000.0,,250000,250000000.0,250000000.0,,,,,,,,,,,,,,,,,,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,,,,,0,1,1,22681,6664059700,1026605767099,0
Компания Веспер,2021-02-11,В обращении,Placed,0.0,RU000A102R32,RU000A102R32,4CDE-01-00023-L,4CDE-01-00023-L,Компания Веспер-КО-01,DBVUFB,RU,Ритейл,RU,RU,г.Москва,Ритейл,Малое предприятие,RU,,,2024-02-08,2031-01-30,2024-02-13,2021-04-22,2020-12-14,2020-12-14,Долгосрочные,,2023-05-11,,,,,,1000.0,,300000,300000000.0,300000000.0,,,,,,,,,,,,,,,,,Переменный,20.0,4.0,RUB,Корп,Коммерческие,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,1,M,НЕТ,НЕТ,Малый,,,,,0,0,1,18049,7709604397,1057746675183,0
Концессии водоснабжения,2017-12-04,В обращении,Placed,0.0,RU000A0ZYHU4,RU000A0ZYHU4,4-05-36487-R-001P,4-05-36487-R-001P,Концессии водоснаб-5-об,DBVUFB,RU,ЖКХ,RU,RU,Волгоградская область,ЖКХ,,RU,3.8301,,2023-03-23,2031-08-10,2023-03-23,2017-12-04,2017-10-02,2017-10-02,Долгосрочные,,2023-11-28,,,,,,1000.0,,1100000,1100000000.0,825011000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Плавающий,0.0,1.0,RUB,Корп,Классические,Нет,bearer,Подписка открытая,Облигации прочих резидентов,,Концессионные,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,C,НЕТ,НЕТ,,,,,,0,0,5,31209,3460019060,1143443032468,1
Концессии теплоснабжения,2019-12-10,В обращении,Placed,0.0,RU000A1015D2,RU000A1015D2,4B02-01-00309-R,4B02-01-00309-R,Концессии теплоснаб-БО-01,DBVUFB,RU,ЖКХ,RU,RU,Волгоградская область,ЖКХ,,RU,0.8,,2023-03-23,2033-11-04,2023-03-23,2019-12-10,2019-11-25,2019-11-25,Долгосрочные,,2023-12-06,,,,,,1000.0,,2000000,2000000000.0,2000000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Плавающий,0.0,1.0,RUB,Корп,Биржевые,Нет,bearer,Подписка открытая,Облигации прочих резидентов,,Концессионные,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,,,,,,0,0,5,28397,3444259579,1163443068722,1
Краснодар Адм,2020-12-24,В обращении,Placed,1.0,RU000A102KT9,RU000A102KT9,RU34003KRA1,RU34003KRA1,Краснодар-34003-об,DNFXFR,RU,Государственные,RU,RU,Краснодарский край,Государственные,,RU,1.474,1.3482,2025-12-23,2025-12-23,,2020-12-24,2020-12-18,2020-12-18,Среднесрочные,,2023-03-23,,9.3284,9.3208,13.77,1.197,1000.0,96.64,1600000,1600000000.0,1600000000.0,136280.0,688186.0,136279.5,5057532.4,10621778.0,10858024.3,13075541.0,6.0,21.0,76.0,150.0,241.0,2.0,5.0,10.0,19.0,Постоянный,6.7,4.0,RUB,Муни,Классические,"Да, после тестирования",certificated registered,Подписка открытая,Облигации органов исполнительной власти субъектов Российской Федерации и муниципальных образований,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,G,НЕТ,НЕТ,,ruA+,ruA+,,,0,0,1,28234,2310032246,1022301606799,0
Красноярск Адм,2020-10-22,В обращении,Placed,1.0,RU000A1029G6,RU000A1029G6,RU34013KRN1,RU34013KRN1,Красноярск-34013-об,DNFXFR,RU,Государственные,RU,RU,Красноярский край,Государственные,,RU,1.3425,1.2282,2025-10-16,2025-10-16,,2020-10-22,2020-10-13,2020-10-13,Среднесрочные,,2023-04-20,,9.3063,9.3398,6.04,0.0,1000.0,96.39,3000000,3000000000.0,2250000000.0,82381.0,166983.0,82381.37,115613.45,232826.33,2915708.67,3172683.33,10.0,22.0,56.0,116.0,172.0,2.0,5.0,10.0,19.0,Постоянный,6.25,4.0,RUB,Муни,Классические,"Да, после тестирования",certificated registered,Подписка открытая,Облигации органов исполнительной власти субъектов Российской Федерации и муниципальных образований,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,G,НЕТ,НЕТ,,ruA,ruA,,,0,0,1,21129,2451000840,1022402655758,0
Краус-М,2016-12-22,В обращении,Placed,0.0,RU000A0JX2L4,RU000A0JX2L4,4B02-01-33273-H-001P,4B02-01-33273-H-001P,Краус-М-001Р-01-боб,DBFUFB,RU,ЖКХ,RU,RU,г.Москва,ЖКХ,,RU,3.1616,,2026-12-10,2026-12-10,,2016-12-22,2016-12-13,2016-12-13,Долгосрочные,,2023-06-15,,29.6451,,,0.0,1000.0,,1000000,1000000000.0,1000000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Постоянный,10.0,2.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,,'ruBBB,,,,0,0,1,31455,7717127797,1027739268699,0
Круиз ООО,2021-07-02,В обращении,Placed,0.0,RU000A103C04,RU000A103C04,4B02-01-00563-R,4B02-01-00563-R,Круиз-БО-01,DBFGFB,RU,Транспорт,RU,RU,г.Санкт-Петербург,Транспорт,Малое предприятие,RU,1.6164,1.4345,2025-06-11,2025-06-11,,2021-07-02,2021-06-29,2021-06-29,Среднесрочные,,2023-03-24,,12.6819,12.6958,4.27,,1000.0,100.0,50000,50000000.0,50000000.0,91982.0,131071.0,91981.9,222992.2,931556.0,1747115.0,2490360.5,14.0,22.0,71.0,142.0,230.0,2.0,5.0,10.0,19.0,Постоянный,12.0,12.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Поручительство,416,0,M,ДА,НЕТ,Малый,,,,,0,0,2,17478,7816349286,1167847493835,1
Кузина ООО,2019-09-16,В обращении,Placed,0.0,RU000A100TL1,RU000A100TL1,4B02-01-00480-R-001P,4B02-01-00480-R-001P,Кузина-БО-П01,DBVUFB,RU,Пищевая промышленность и с/х,RU,RU,Новосибирская область,Пищевая промышленность и с/х,Малое предприятие,RU,0.2411,0.23,2020-03-23,2023-08-26,,2019-09-16,2019-09-10,2019-09-10,Среднесрочные,,2023-03-29,,4.8175,6.0573,6.05,0.0,10000.0,102.48,5500,55000000.0,10101596.157,58289.0,55605.0,58288.64,95914.24,152338.57,551736.64,1056501.25,18.0,26.0,48.0,110.0,189.0,2.0,5.0,10.0,19.0,Переменный,15.0,12.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,M,НЕТ,ДА,Малый,,,,,0,0,1,22435,5404373487,1085404027598,1
Курганприбор НПО,2020-12-10,В обращении,Placed,0.0,RU000A102G84,RU000A102G84,4CDE-01-32979-D,4CDE-01-32979-D,Курганприбор НПО-01,DBVUFB,RU,Машиностроение,RU,RU,Курганская область,Машиностроение,,RU,,,2021-03-10,2025-11-14,,2020-12-21,2020-11-27,2020-11-27,Среднесрочные,,2023-05-29,2025-08-16 00:00:00,,,,,1000000.0,,108,108000000.0,108000000.0,,,,,,,,,,,,,,,,,Плавающий,12.5,4.0,RUB,Корп,Коммерческие,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,C,НЕТ,НЕТ,Крупный,,,,,0,0,1,18219,4501129676,1074501002839,1
